Miniball.Clu0.Cry0.Seg0.X:	193.624
Miniball.Clu0.Cry0.Seg0.Y:	-0.126591
Miniball.Clu0.Cry0.Seg0.Z:	222.411
Miniball.Clu0.Cry0.Seg0.Theta:	0.716313
Miniball.Clu0.Cry0.Seg0.Phi:	-0.000653801
Miniball.Clu0.Cry0.Seg0.Ctr:	103
Miniball.Clu0.Cry0.Seg1.X:	187.746
Miniball.Clu0.Cry0.Seg1.Y:	16.951
Miniball.Clu0.Cry0.Seg1.Z:	228.595
Miniball.Clu0.Cry0.Seg1.Theta:	0.689587
Miniball.Clu0.Cry0.Seg1.Phi:	0.0900428
Miniball.Clu0.Cry0.Seg1.Ctr:	103
Miniball.Clu0.Cry0.Seg2.X:	169.03
Miniball.Clu0.Cry0.Seg2.Y:	18.0921
Miniball.Clu0.Cry0.Seg2.Z:	241.189
Miniball.Clu0.Cry0.Seg2.Theta:	0.613955
Miniball.Clu0.Cry0.Seg2.Phi:	0.106629
Miniball.Clu0.Cry0.Seg2.Ctr:	88
Miniball.Clu0.Cry0.Seg3.X:	158.367
Miniball.Clu0.Cry0.Seg3.Y:	0.038021
Miniball.Clu0.Cry0.Seg3.Z:	241.569
Miniball.Clu0.Cry0.Seg3.Theta:	0.580287
Miniball.Clu0.Cry0.Seg3.Phi:	0.000240081
Miniball.Clu0.Cry0.Seg3.Ctr:	94
Miniball.Clu0.Cry0.Seg4.X:	167.228
Miniball.Clu0.Cry0.Seg4.Y:	-17.9475
Miniball.Clu0.Cry0.Seg4.Z:	237.058
Miniball.Clu0.Cry0.Seg4.Theta:	0.617062
Miniball.Clu0.Cry0.Seg4.Phi:	-0.106914
Miniball.Clu0.Cry0.Seg4.Ctr:	90
Miniball.Clu0.Cry0.Seg5.X:	186.941
Miniball.Clu0.Cry0.Seg5.Y:	-18.3326
Miniball.Clu0.Cry0.Seg5.Z:	225.231
Miniball.Clu0.Cry0.Seg5.Theta:	0.695119
Miniball.Clu0.Cry0.Seg5.Phi:	-0.0977538
Miniball.Clu0.Cry0.Seg5.Ctr:	84
Miniball.Clu0.Cry1.Seg0.X:	118.523
Miniball.Clu0.Cry1.Seg0.Y:	50.8429
Miniball.Clu0.Cry1.Seg0.Z:	267.924
Miniball.Clu0.Cry1.Seg0.Theta:	0.448625
Miniball.Clu0.Cry1.Seg0.Phi:	0.405229
Miniball.Clu0.Cry1.Seg0.Ctr:	126
Miniball.Clu0.Cry1.Seg1.X:	109.692
Miniball.Clu0.Cry1.Seg1.Y:	32.1337
Miniball.Clu0.Cry1.Seg1.Z:	273.872
Miniball.Clu0.Cry1.Seg1.Theta:	0.395377
Miniball.Clu0.Cry1.Seg1.Phi:	0.284972
Miniball.Clu0.Cry1.Seg1.Ctr:	161
Miniball.Clu0.Cry1.Seg2.X:	119.215
Miniball.Clu0.Cry1.Seg2.Y:	13.0926
Miniball.Clu0.Cry1.Seg2.Z:	267.785
Miniball.Clu0.Cry1.Seg2.Theta:	0.421078
Miniball.Clu0.Cry1.Seg2.Phi:	0.109385
Miniball.Clu0.Cry1.Seg2.Ctr:	170
Miniball.Clu0.Cry1.Seg3.X:	139.985
Miniball.Clu0.Cry1.Seg3.Y:	14.9635
Miniball.Clu0.Cry1.Seg3.Z:	259.538
Miniball.Clu0.Cry1.Seg3.Theta:	0.497018
Miniball.Clu0.Cry1.Seg3.Phi:	0.106489
Miniball.Clu0.Cry1.Seg3.Ctr:	108
Miniball.Clu0.Cry1.Seg4.X:	147.808
Miniball.Clu0.Cry1.Seg4.Y:	32.6789
Miniball.Clu0.Cry1.Seg4.Z:	253.004
Miniball.Clu0.Cry1.Seg4.Theta:	0.539183
Miniball.Clu0.Cry1.Seg4.Phi:	0.217591
Miniball.Clu0.Cry1.Seg4.Ctr:	80
Miniball.Clu0.Cry1.Seg5.X:	139.517
Miniball.Clu0.Cry1.Seg5.Y:	50.8489
Miniball.Clu0.Cry1.Seg5.Z:	258.41
Miniball.Clu0.Cry1.Seg5.Theta:	0.521569
Miniball.Clu0.Cry1.Seg5.Phi:	0.349502
Miniball.Clu0.Cry1.Seg5.Ctr:	90
Miniball.Clu0.Cry2.Seg0.X:	118.904
Miniball.Clu0.Cry2.Seg0.Y:	-51.4241
Miniball.Clu0.Cry2.Seg0.Z:	265.856
Miniball.Clu0.Cry2.Seg0.Theta:	0.453424
Miniball.Clu0.Cry2.Seg0.Phi:	-0.408193
Miniball.Clu0.Cry2.Seg0.Ctr:	129
Miniball.Clu0.Cry2.Seg1.X:	139.035
Miniball.Clu0.Cry2.Seg1.Y:	-51.8385
Miniball.Clu0.Cry2.Seg1.Z:	258.97
Miniball.Clu0.Cry2.Seg1.Theta:	0.520314
Miniball.Clu0.Cry2.Seg1.Phi:	-0.35688
Miniball.Clu0.Cry2.Seg1.Ctr:	108
Miniball.Clu0.Cry2.Seg2.X:	147.165
Miniball.Clu0.Cry2.Seg2.Y:	-33.0312
Miniball.Clu0.Cry2.Seg2.Z:	253.153
Miniball.Clu0.Cry2.Seg2.Theta:	0.53732
Miniball.Clu0.Cry2.Seg2.Phi:	-0.220791
Miniball.Clu0.Cry2.Seg2.Ctr:	104
Miniball.Clu0.Cry2.Seg3.X:	139.065
Miniball.Clu0.Cry2.Seg3.Y:	-15.0323
Miniball.Clu0.Cry2.Seg3.Z:	258.788
Miniball.Clu0.Cry2.Seg3.Theta:	0.49552
Miniball.Clu0.Cry2.Seg3.Phi:	-0.107678
Miniball.Clu0.Cry2.Seg3.Ctr:	113
Miniball.Clu0.Cry2.Seg4.X:	119.346
Miniball.Clu0.Cry2.Seg4.Y:	-13.9408
Miniball.Clu0.Cry2.Seg4.Z:	268.887
Miniball.Clu0.Cry2.Seg4.Theta:	0.420249
Miniball.Clu0.Cry2.Seg4.Phi:	-0.116283
Miniball.Clu0.Cry2.Seg4.Ctr:	170
Miniball.Clu0.Cry2.Seg5.X:	110.231
Miniball.Clu0.Cry2.Seg5.Y:	-33.2616
Miniball.Clu0.Cry2.Seg5.Z:	274.059
Miniball.Clu0.Cry2.Seg5.Theta:	0.397738
Miniball.Clu0.Cry2.Seg5.Phi:	-0.293056
Miniball.Clu0.Cry2.Seg5.Ctr:	196
Miniball.Clu1.Cry0.Seg0.X:	41.2108
Miniball.Clu1.Cry0.Seg0.Y:	173.662
Miniball.Clu1.Cry0.Seg0.Z:	236.64
Miniball.Clu1.Cry0.Seg0.Theta:	0.646213
Miniball.Clu1.Cry0.Seg0.Phi:	1.3378
Miniball.Clu1.Cry0.Seg0.Ctr:	88
Miniball.Clu1.Cry0.Seg1.X:	32.3316
Miniball.Clu1.Cry0.Seg1.Y:	157.121
Miniball.Clu1.Cry0.Seg1.Z:	247.54
Miniball.Clu1.Cry0.Seg1.Theta:	0.574987
Miniball.Clu1.Cry0.Seg1.Phi:	1.36785
Miniball.Clu1.Cry0.Seg1.Ctr:	107
Miniball.Clu1.Cry0.Seg2.X:	43.1481
Miniball.Clu1.Cry0.Seg2.Y:	139.938
Miniball.Clu1.Cry0.Seg2.Z:	253.255
Miniball.Clu1.Cry0.Seg2.Theta:	0.524258
Miniball.Clu1.Cry0.Seg2.Phi:	1.27171
Miniball.Clu1.Cry0.Seg2.Ctr:	101
Miniball.Clu1.Cry0.Seg3.X:	64.135
Miniball.Clu1.Cry0.Seg3.Y:	139.454
Miniball.Clu1.Cry0.Seg3.Z:	248.876
Miniball.Clu1.Cry0.Seg3.Theta:	0.552648
Miniball.Clu1.Cry0.Seg3.Phi:	1.13974
